id,title,year,duration,description,rating,genres,cast,studio,poster_path
1000001,Barbie,2023.0,114.0,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",3.86,Adventure|Comedy,"Aaron J. Smith, Adam Blaug, Adam Crossley, Adam Fogarty, Adam Paul Robertson, Adam Ray, Alana Rixon, Alex Brown, Alex Sturman, Alexandra Shipp, America Ferrera, Ana Cruz Kayne, Andrew Leung, Andy Monaghan, Ann Roth, Anna-Kay Gayle, Annie Mumolo, Anvita Nehru, Ariana Greenblatt, Ashley Young, Asim Chaudhry, Barnaby Quarendon, Beccy Jones, Benjamin Arthur, Brylee Hsu, Callum Bell, Callum Clack, Callum Sterling, Cameron Everitt, Carlos Jacott, Charles Tatman, Charlie Goddard, Charlotte Anderson, Chris Taylor, Christopher T. Wood, Connor Swindells, Connor Tidman, Cristian Liberti, Daisy Duczmal, Danny Coburn, David Mumeni, Davide Albonetti, Deb Hiett, Dua Lipa, Eire Farrell, Elise Gallup, Ella Nonini, Ellis Harman, Emerald Fennell, Emma Mackey, Erica Ford, Florivaldo Mossi, Freja Nicole, Genvieve Toussaint, George Basil, Grace Durkin, Grace Jabbari, Grant Neal, Grant Thresh, Gustave Die, Hannah Khalique-Brown, Hannah Nazareth, Hari Nef, Helen Mirren, Ira Mandela Siobhan, Ireanne Abenoja, Isabella Nightingale-Mercado, Isla Ashworth, Issa Rae, Jack William Parry, Jamaal Lewis, James Bamford, James Healy, James Leon, Jamie Demetriou, Janine Somcio, Jerry Wan, Joe Wolstenholme, Joelle Dyson, John Cena, Jordan Melchor, Josh Hawkins, Josh Wild, Joshua Smith, Josie Pocock, Kat Collings, Kate McKinnon, Kathryn Akin, Kayla-Mai Alvares, Kingdom Sibanda, Kingsley Ben-Adir, Lauren Holt, Lewis Calcutt, Lewis Easter, Liam Riddick, Lily Laight, Lisa Spencer, Lucia-Rose Sokolowski, Lucy Boynton, Luke Field-Wright, Luke Mullen, Mac Brandt, Maiya Leeke, Margot Robbie, Marisa Abela, Marlie Goddard, Mason Boyce, McKenna Roberts, Megan Charles, Mette, Michael Anderson, Michael Cera, Michael John French, Miekaile Browne, Millie-Rose Crossley, Mira Jebari, Nahum McLean, Naomi Watts, Naomi Weijand, Ncuti Gatwa, Nicola Coughlan, Nikkita Chadha, Oliver Chapman, Oliver Vaquer, Oliver Wheeler, Olivia Brody, Onyemachi Ejimofor, Oraldo Austin, Patrick Luwis, Paul Jurewicz, Prodromos Marneros, Ptolemy Slocum, Ramzan Miah, Ray Fearon, Redmand Rance, Rhea Perlman, Richard Womersley, Rico Bakker, Ritu Arya, Rob Brydon, Ryan Gosling, Ryan Piers Williams, Sasha Flesch, Sasha Milstein, Sasha Wareham, Scott Evans, Sebastian Skov, Sharon Rooney, Shaun Niles, Sia Dauda, Simu Liu, Stan West, Sterling Jones, Taylor Bradshaw, Thomas Kalek, Tim Hodges, Todd Talbot, Tom Clark, Tom Stourton, Tony Noto, Wahchi Vong, Will Ferrell, Will Merrick, William John Banks, Yasmin Harrison, Zara Richards, Zheng Xi Yong",Heyday Films|LuckyChap Entertainment|Mattel|NB/GG Pictures|Warner Bros. Pictures,data/posters\1000001.jpg
1000002,Parasite,2019.0,133.0,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",4.56,Comedy|Drama|Thriller,"Ahn Jin-sang, Ahn Seong-bong, Andreas Fronk, Anna Elisabeth Rihlmann, Baek Seung-hwan, Cho Jae-myung, Cho Yeo-jeong, Choi Jeong-hyun, Choi Ji-won, Choi Woo-shik, Hwang In-gyeong, Jang Hye-jin, Jeon Eun-mi, Jeong Ik-han, Jung Hyeon-jun, Jung Ji-so, Jung Yi-seo, Kim Bo-ryeong, Kim Geon, Kim Ha-eon, Kim Jung-woo, Kim Kyu-baek, Kim Yeong-jo, Ko Kwan-jae, Kwak Sin-ae, Lee Dong-yong, Lee Eun-hee, Lee Ji-hye, Lee Joo-hyung, Lee Jung-eun, Lee Sang-kyung, Lee Si-hoo, Lee Si-hoon, Lee Sun-kyun, Park Hye-sook, Park Jae-wan, Park Jae-wook, Park Keun-rok, Park Myung-hoon, Park Seo-jun, Park So-dam, Riccardo Ferraresso, Rosie Peralta, Seo Bok-hyeon, Shim Soo-mi, Shin Seung-min, Song Kang-ho, Yoon Hye-ree, Yoon Young-woo",Barunson E&A,data/posters\1000002.jpg
1000003,Everything Everywhere All at Once,2022.0,140.0,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",4.3,Action|Adventure|Comedy|Science Fiction,"Aaron Lazar, Amanda MacLeod, Andy Le, Anthony Molinari, Anthony N., Audrey Wasilewski, Biff Wiff, Boon Pin Koh, Brian Le, Cara Marie Chooljian, Chelsey Goldsmith, Craig Henningsen, Dan Brown, Daniel Scheinert, Dylan Henry Lau, Efka Kvaraciejus, Harry Shum Jr., Hiroshi Yada, James Hong, Jamie Lee Curtis, Jane Lui, Jason Hamer, Jenny Slate, Ke Huy Quan, Li Jing, Michelle Yeoh, Michiko Nishiwaki, Neravana Cabral, Peter Banifaz, Randall Archer, Randy Newman, Stephanie Hsu, Sunita Mani, Tallie Medel, Timothy Eulich, Timothy Ralston",AGBO|IAC Films|Ley Line Entertainment|Year of the Rat,data/posters\1000003.jpg
1000004,Fight Club,1999.0,139.0,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",4.27,Drama,"Anderson Bourell, Andi Carnick, Baron Jay, Bennie Moore, Bob Stephenson, Brad Pitt, Brian Tochi, Bruce Holman, Carl Ciarfalio, Chad Randau, Charlie Dell, Christie Cronenweth, Christina Cabot, Christopher John Fields, David Andrews, David Jean Thomas, David Lee Smith, Dierdre Downing-Jackson, Ed Kowalczyk, Eddie Hargitay, Edward Norton, Eion Bailey, Eugenie Bondurant, Evan Mirand, Ezra Buzzington, George Maguire, Greg Bronson, Gregory Silva, Helena Bonham Carter, Holt McCallany, Hugh Peddy, J.T. Pontino, Jared Leto, Jawara, Jim Jenkins, Joel Bissonnette, Joon Kim, Kevin Scott Mack, Lauren Sánchez, Leonard Termo, Lou Beatty Jr., Louis Ortiz, Marc Cinquanta, Marcio Rosario, Mark Fite, Markus Redmond, Matt Cinquanta, Matt Winston, Meat Loaf, Michael Arturo, Michael Girardin, Michael Shamus Wiles, Michael Zagst, Owen Masterson, Pat McNamara, Paul Carafotes, Paul Dillon, Peter Iacangelo, Phil Hawn, Rachel Singer, Richmond Arquette, Rob Lanza, Robby Robinson, Scotch Ellis Loring, Stuart Blumberg, Summer Moore, Sydney 'Big Dawg' Colston, Thom Gossom Jr., Tim DeZarn, Todd Peirce, Trey Ore, Tyrone R. Livingston, Valerie Bickford, Van Quattro, Zach Grenier",20th Century Fox|Fox 2000 Pictures|Regency Enterprises|Taurus Film|The Linson Company,data/posters\1000004.jpg
1000005,La La Land,2016.0,129.0,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",4.09,Comedy|Drama|Music|Romance,"Aaron 'Deuce' Cooke, Ali Arda Özdeniz, Amanda Balen, Amanda Fields, Amiée Conn, Ana Flavia Gavlak, Andrea Lareo, Andres Perez-Molina, Anna Chazelle, Anna Lunberry, Anthony Marciona, April Martucci, Arthur Horowitz, Asiel Hardison, Ava Bernstine-Mitchell, Becca Sweitzer, Bill Prudich, Bobo Chang, Bradley M. Rapier, Brandon O'Neal, Briana Lee, Britt Stewart, Brittany Parks, Bryan Tanaka, Bubba Dean Rambo, C.J. Stussi, Cal Bennett, Callie Hernandez, Cameron Brinkman, Camryn Ray Cavaliero, Candice Coke, Carol Connors, Casey Johansen, Cassidy Noblett, Catalina Cat Rendic, Chelsea Thedinga, Chris Jarosz, Chris Moss, Christopher Aber, Christopher Michael Stevens, Cinda Adams, Cindera Che, Clarence Robinson, Clarice Ordaz, Claudine Claudio, Clifton 'Fou Fou' Eddie, Corey Anderson, Corrin Evans, Cris Judd, Crystal Nichol, D.A. Wallach, Damian Gomez, Damon Gupton, Dana Fukagawa, Dana Wilson, Daniel Gaymon, Danny Valle, Dapo Torimiro, David Douglas, Demian Boergadine, Dempsey Pappion, Denzel Chisolm, Destinee Handly, Dominic Chaiduang, Dominique Domingo, Doran Butler, Eartha Robinson, Emily Williams, Emma Stone, Eren Kayakıran, Finn Wittrock, Frederick Keeve, Gakenia Muigai, Galen Hooks, George Lawrence Jr., Gustavo Vargas, Heather Turman, Hemky Madera, Holly Houk, Hunter Hamilton, J.K. Simmons, Jason Fuchs, Javier Gonzalez, Jenna Curtis, Jeremy Hudson, Jeremy Nathan Tisser, Jesse Houk, Jessica Rothe, John Hindman, John Legend, Jordan Ray Fox, Josh Pence, Julie Schmid, KC Monnie, Kaveh Rastegar, Kaye L. Morris, Kayla Kalbfleisch, Keith Harris, Kelly Kennedy, Khasan Brailsford, Khirye Tyler, Kiff VandenHeuvel, Kristin Elliott, Kristin Slaysman, Krystal Ellsworth, Leah Adler, Lexie Contursi, Liz Imperio, Lou Becker, Lynn Moore, Mallauri Esquibel, Margaret Newborn, Mario Diaz, Marissa Labog, Marius de Vries, Martha Nichols, Matt Cady, Matthew Aylward, Matthew Kazmierczak, McKenzie Anderson, Meagen Fay, Mecca Vazie Andrews, Megan Lawson, Melinda Sullivan, Melvin LaThomas Brimm, Michael Higgins, Michael Munday, Michael Stein, Miles Anderson, Milica Govich, Monie Adamson, Montana Efaw, Morgan Cohen, Morgan Larson, Nadia Tumanova, Natalie Gilmore, Natalie Imani, Nathan Prevost, Nedra Wheeler, Nick Baga, Nick Drago, Nicole Coulon, Nicole Wolf, Nilla Elizabeth Watkins, Noah James, Noel Bajandas, Olivia Hamilton, Ottavio Taddei, Pamela Chu, Patrick Cook, Patty Tobin, Paul Kirkland, Phillip E. Walker, Quinn Lipton, Reshma Gajjar, Robert Haynes, Robert Roldan, Rosemarie DeWitt, Ryan Gosling, Ryan Novak, Ryan Ramirez, Samantha Abrantes, Sandra Rosko, Sarah Mitchell, Sasha Fine, Scott Hislop, Scott Myrick, Shannon Holtzapffel, Shannon Leann, Shaun Evaristo, Shaylah J. Stevens, Sonoya Mizuno, Steffen Dziczek, Stephanie Landwehr, Susie Ganiere, Sybil Azur, Tara Nicole Hughes, Terrance Yates, Terry Walters, Thom Shelton, Tiffany Daniels, Tom Everett Scott, Tommy Cooley, Tommy Otis, Tony Bellissimo, Tracy Shibata, Trent Kerpsack, Trevor Lissauer, Valarie Rae Miller, Vince Donvito, Víctor Rojas, Yoori Kim, Zoë Hall",Black Label Media|Gilbert Films|Impostor Pictures|Marc Platt Productions|Summit Entertainment|TIK Films,data/posters\1000005.jpg
1000006,Oppenheimer,2023.0,181.0,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,4.23,Drama|History,"Adam Kroeger, Alden Ehrenreich, Alex Wolff, Benny Safdie, Brett DelBuono, Britt Kyle, Bryce Johnson, Casey Affleck, Christina Hogue, Christopher Denham, Cillian Murphy, Clay Bunker, Dane DeHaan, Danny Deferrari, David Dastmalchian, David Krumholtz, David Rysdahl, Devon Bostick, Drew Kenney, Dylan Arnold, Emily Blunt, Emma Dumont, Flora Nolan, Florence Pugh, Gary Oldman, Gregory Jbara, Gustaf Skarsgård, Guy Burnet, Hap Lawrence, Harrison Gilbertson, Harry Groener, Jack Cutmore-Scott, Jack Quaid, James D'Arcy, James Remar, James Urbaniak, Jason Clarke, Jeff Hephner, Jefferson Hall, Jeremy John Wells, Jessica Erin Martin, John Gowans, Josh Hartnett, Josh Peck, Josh Zuckerman, Kate French, Kenneth Branagh, Kerry Westcott, Kurt Koehler, Louise Lombard, Macon Blair, Maria Teresa Zuppetta, Matt Damon, Matthew Modine, Matthias Schweighöfer, Meg Schimelpfenig, Michael Andrew Baker, Michael Angarano, Máté Haumann, Olivia Thirlby, Olli Haaskivi, Pat Skipper, Petrie Willink, Rami Malek, Robert Downey Jr., Ronald Auguste, Rory Keane, Sadie Stratton, Scott Grimes, Sean Avery, Steve Coulter, Steven Houska, Ted King, Tim DeKay, Tom Conti, Tom Jenkins, Tony Goldwyn, Trond Fausa Aurvåg, Tyler Beardsley, Will Roberts",Atlas Entertainment|Syncopy|Universal Pictures,data/posters\1000006.jpg
1000007,Interstellar,2014.0,169.0,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,4.35,Adventure|Drama|Science Fiction,"Alexander Michael Helisek, Andrew Borba, Anne Hathaway, Benjamin Hardy, Bill Irwin, Brooke Smith, Casey Affleck, Collette Wolfe, David Gyasi, David Oyelowo, Ellen Burstyn, Elyes Gabel, Flora Nolan, Francis X. McCarthy, Griffen Fraser, Jeff Hephner, Jessica Chastain, John Lithgow, Joseph Oliveira, Josh Stewart, Kristian Van der Heyden, Leah Cairns, Lena Georgas, Liam Dickinson, Mackenzie Foy, Matt Damon, Matthew McConaughey, Michael Caine, Russ Fega, Ryan Irving, Timothée Chalamet, Topher Grace, Wes Bentley, William Devane, William Patrick Brown",Legendary Pictures|Lynda Obst Productions|Syncopy,data/posters\1000007.jpg
1000008,Joker,2019.0,122.0,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",3.85,Crime|Drama|Thriller,"Adam Quezada, Adrienne Acevedo Lovette, Alissa Bourne, Alonzo Wright, April Grace, Ben Heyman, Ben Warheit, Bill Camp, Blaise Corrigan, Brendan Patrick Connor, Brett Cullen, Brian Tyree Henry, Bryan Callen, Carl Lundstedt, Carrie Louise Putrello, Chris Redd, Craig Austin, Damian Emmanuel, Danny Schoch, Dante Pereira-Olson, David Gibson, Demetrius Dotson II, Dennis Jay Funny, Douglas Hodge, Evan Rosado, Frances Conroy, Frank Wood, Gary Gulman, Glenn Fleshler, Graham Mabry, Graham Maby, Greer Barnes, Hannah Gross, Isabella Ferreira, Jack Wilkins, Jamaal Burcher, James Ciccone, James P. Harkins, Jane Fergus, Jason John Cicalese, Jeff McCarthy, Jesse Schratz, Joaquin Phoenix, John Alldred, John Cashin, John Cenatiempo, Joseph Hernandez, Josh Pais, Justin Theroux, Keith Buterbaugh, Kim Brockington, Leigh Gill, Lou Young, Mandela Bellamy, Marc Maron, Mary Kate Malat, Michael Benz, Michael-Scott Druckenmiller, Mick Szal, Mike Troll, Murphy Guyer, Peter Hans Benson, Ray Iannicelli, Rich Campbell, Richard Baratta, Robert De Niro, Rocco Luna, Roger Squitero, Sam Morril, Shade Rupe, Sharon Washington, Shea Whigham, Sondra James, Steven Elson, Tony D. Head, Troy Roberts, Vito Gerbino, Xavyer Ureña, Zazie Beetz",Bron Studios|DC Films|Joint Effort|Village Roadshow Pictures|Warner Bros. Pictures,data/posters\1000008.jpg
1000009,Dune,2021.0,155.0,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",3.9,Adventure|Science Fiction,"Babs Olusanmokun, Benjamin Clémentine, Benjamin Dilloway, Chang Chen, Charlie Rawes, Charlotte Rampling, Dave Bautista, David Dastmalchian, Dora Kápolnai-Schvab, Ellen Dubin, Elmi Rashid Elmi, Fehinti Balogun, Gloria Obianyo, Golda Rosheuvel, Jason Momoa, Javier Bardem, Jean Gilpin, Jimmy Walker, Joelle, Josh Brolin, János Timkó, Marianne Faithfull, Milena Sidorova, Neil Bell, Oliver Ryan, Oscar Isaac, Paul Bullion, Rebecca Ferguson, Richard Carter, Roger Yuan, Seun Shote, Sharon Duncan-Brewster, Souad Faress, Stellan Skarsgård, Stephen Collins, Stephen McKinley Henderson, Tachia Newall, Timothée Chalamet, Zendaya",Legendary Pictures,data/posters\1000009.jpg
1000010,Pulp Fiction,1994.0,154.0,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",4.26,Crime|Thriller,"Alexis Arquette, Amanda Plummer, Angela Jones, Ani Sava, Brad Blumenthal, Brenda Hillhouse, Bronagh Gallagher, Bruce Willis, Burr Steers, Carl Allen, Chandler Lindauer, Christopher Walken, Cie Allman, Devan Richardson, Don Blakely, Duane Whitaker, Emil Sitka, Eric Clark, Eric Stoltz, Frank Whaley, Gary Shorelle, Glendon Rich, Harvey Keitel, Jerome Patrick Hoban, John Travolta, Joseph Pilato, Julia Sweeney, Karen Maruyama, Kathy Griffin, Laura Lovelace, Lawrence Bender, Linda Kaye, Lorelei Leslie, Lori Pizzo, Maria de Medeiros, Michael Gilden, Paul Calderon, Peter Greene, Phil LaMarr, Quentin Tarantino, Rene Beard, Rich Turner, Richard Rossi, Robert Ruth, Rosanna Arquette, Samuel L. Jackson, Stephen Hibbert, Steve Buscemi, Susan Griffiths, Sy Sher, Tim Roth, Uma Thurman, Venessia Valentino, Ving Rhames",A Band Apart|Jersey Films|Miramax,data/posters\1000010.jpg
1000011,Spider-Man: Into the Spider-Verse,2018.0,117.0,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",4.42,Action|Adventure|Animation|Science Fiction,"Adam Brown, Al Rodrigo, Alycia Cooper, Andrew Leviton, Arthur Ortiz, Brian Tyree Henry, Bridget Hoffman, Caitlin McKenna, Carlos Zaragoza, Chris Pine, Christopher Miller, Chrystee Pharris, Claudia Choi, Courtney Peldon, Darcy Rose Byrnes, David Applebee, Dennis Singletary, Devika Parikh, Donna Lynn Leavy, Edwin H. Bravo, Gredel Berrios Calladine, Greta Lee, Hailee Steinfeld, Harrison Knight, Holly Walker, Jacqueline Pinol, Jake Johnson, Jason Linere-White, Jessica Mikayla Adams, Joaquín Cosío, John Mulaney, Jon Bruno, Jorma Taccone, Joseph Izzo, Joseph Sanfelippo, Juan Carlos Arvelo, Juan Pacheco, Juan Pope, June Christopher, Justin Shenkarow, Kathryn Hahn, Kelby Joseph, Kim Yarbrough, Kimiko Glenn, Lake Bell, Lex Lang, Liev Schreiber, Lily Tomlin, Luna Lauren Velez, Mahershala Ali, Marvin 'Krondon' Jones III, Melanie Haynes, Melissa Sturm, Michelle Jubilee Gonzalez, Miguel Jiron, Mimi Davila, Muneeb Rehman, Natalie Morales, Nick Jaine, Nicolas Cage, Oscar Camacho, Oscar Isaac, Post Malone, Rif Hutton, Ruth Zalduondo, Sarah D. Cole, Scott Menville, Shakira Ja'nai Paye, Shameik Moore, Stan Lee, Terrence Hardy Jr., Warren Sroka, Zoë Kravitz",Arad Productions|Columbia Pictures|Lord Miller|Pascal Pictures|Sony Pictures Animation,data/posters\1000011.jpg
1000012,Whiplash,2014.0,107.0,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",4.43,Drama|Music,"Adrian Burks, April Grace, Austin Stowell, Ayinde Vaughan, C.J. Vana, Calvin C. Winbush, Candace Roberge, Charlie Ian, Chris Mulkey, Clifton 'Fou Fou' Eddie, Damon Gupton, Daniel Weidlein, Henry G. Sanders, Herman Johansen, J.K. Simmons, Janet Hoskins, Jayson Blair, Jimmie Kirkpatrick, Jocelyn Ayanna, Joseph Bruno, Joseph Oliveira, Kavita Patil, Keenan Allen, Keenan Henson, Kofi Siriboe, Krista Kilber, Marcus Henderson, Max Kasch, Melissa Benoist, Michael D. Cohen, Michelle Ruff, Miles Teller, Nate Lang, Paul Reiser, Rogelio Douglas Jr., Sam Campisi, Shai Golan, Stephen Hsu, Suanne Spoke, Tarik Lowe, Tony Baker, Tyler Kimball, Wendee Lee, Yancey Wells",Blumhouse Productions|Bold Films|Right of Way Films,data/posters\1000012.jpg
1000013,The Batman,2022.0,177.0,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",3.98,Crime|Mystery|Thriller,"Adam Rojko Vega, Akie Kotabe, Alex Ferns, Amanda Blake, Amanda Hurwitz, Andre Nightingale, Andy Serkis, Angela Yeoh, Archie Barnes, Arthur Lee, Barry Keoghan, Bobby Cuza, Brandon Bassir, Bronson Webb, Chabris Napier-Lawrence, Charlie Carver, Colin Farrell, Con O'Neill, Craig Douglas, Craige Middleburg, Daniel Rainford, Dave Simon, Dean Meminger, Douglas Russell, Ed Kear, Elena Saurel, Elijah Baker, Elliot Warren, Ezra Elliott, Gil Perez-Abraham, Hadas Gold, Hana Hrzic, Heider Ali, Itoya Osagiede, Jack Bennett, James Eeles, Janine Harouni, Jay Lycurgo, Jayme Lawson, Jeffrey Wright, John Turturro, Jordan Coulson, Jose Palma, Joseph Balderrama, Joseph Walker, Joshua Eldridge-Smith, Kazeem Tosin Amore, Kosha Engler, Leemore Marrett Jr., Lorna Brown, Lorraine Tai, Luke Roberts, Madeleine Gray, Marcus Onilude, Mark Killeen, Max Carver, Mike Capozzola, Nathalie Armin, Oscar Novak, Parry Glasspool, Pat Battle, Paul Dano, Peter McDonald, Peter Sarsgaard, Phil Aizlewood, Philip Shaun McGuinness, Richard James-Neale, Robert Pattinson, Rodrig Andrisan, Roma Torre, Rupert Penry-Jones, Sandra Dickinson, Sid Sagar, Spike Fearn, Ste Johnston, Stefan Race, Stella Stocker, Stewart Alexander, Todd Boyce, Urielle Klein-Mekongo, Will Austin, Zoë Kravitz",6th & Idaho|DC Films|Dylan Clark Productions|Warner Bros. Pictures,data/posters\1000013.jpg
1000014,Get Out,2017.0,104.0,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",4.16,Horror|Mystery|Thriller,"Allison Williams, Ashley LeConte Campbell, Betty Gabriel, Bradley Whitford, Caleb Landry Jones, Caren L. Larkey, Catherine Keener, Daniel Kaluuya, Erika Alexander, Evan Shafran, Geraldine Singer, Ian Casselberry, Jeronimo Spinx, John Donohue, John Wilmot, Jordan Peele, Julie Ann Doan, Keegan-Michael Key, LaKeith Stanfield, Lil Rel Howery, Marcus Henderson, Richard Herd, Rutherford Cravens, Sean Paul Braud, Stephen Root, Tahj Vaughans, Trey Burvant, Yasuhiko Oyama, Zailand Adams",Blumhouse Productions|Monkeypaw Productions|QC Entertainment,data/posters\1000014.jpg
1000015,Knives Out,2019.0,131.0,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",3.99,Comedy|Crime|Mystery,"Ana de Armas, Ben Bunnag, Chris Evans, Christopher Plummer, Daniel Craig, Don Johnson, Edi Patterson, Frank Oz, Frankie Francois, Gabrielle Lorthe, Gary Tanguay, Jaeden Martell, Jamie Lee Curtis, Joseph Gordon-Levitt, K Callan, Katherine Langford, Kerry Frances, LaKeith Stanfield, M. Emmet Walsh, Marcela Jaramillo, Marlene Forte, Michael Burnell, Michael Shannon, Noah Segan, Octavia Chavez-Richmond, Paul Bellefeuille, Paul Tawczynski, Raúl Castillo, Riki Lindhome, Rob Lévesque, Shyrley Rodriguez, Toni Collette",Lionsgate|MRC|T-Street,data/posters\1000015.jpg
1000016,Midsommar,2019.0,147.0,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",3.78,Drama|Horror|Mystery,"Agnes Westerlund Rase, Anders Back, Anders Beckman, Anki Larsson, Anna Berentzen, Anna Åström, Archie Madekwe, Austin R. Grant, Björn Andrésen, Dag Andersson, Ellora Torchia, Florence Pugh, Frans Cavallin Rosengarten, Gabi Fón, Gunnel Fred, Hampus Hallberg, Henrik Norlén, Isabelle Grill, Jack Reynor, Julia Ragnarsson, Katarina Weidhagen, Klaudia Csányi, Lars Väringer, Lennart R. Svensson, Levente Puczkó-Smith, Liv Mjönes, Louise Peterhoff, Mats Blomgren, Mihály Kaszás, Rebecka Johnston, Tomas Engström, Tove Skeidsvoll, Vilhelm Blomgren, Vilmos Kolba, Will Poulter, William Jackson Harper, Zsolt Bojári",B-Reel Films|Square Peg,data/posters\1000016.jpg
